               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.014128,           0.0035253,          0.00044445,             0.99969,                   1,               0.995,             0.88608,           0.0090236,           0.0021823,          0.00030703,            0.006502,            0.006502,            0.006502
                 108,            0.013335,           0.0032972,          0.00038382,             0.99963,                   1,               0.995,              0.8941,           0.0084557,           0.0021354,          0.00027659,            0.006469,            0.006469,            0.006469
                 109,              0.0134,           0.0032336,          0.00035507,             0.99964,                   1,               0.995,             0.89274,           0.0079048,           0.0021056,          0.00028911,            0.006436,            0.006436,            0.006436
                 110,            0.013004,           0.0034462,          0.00042777,             0.99968,                   1,               0.995,             0.89361,           0.0076521,            0.002082,          0.00030453,            0.006403,            0.006403,            0.006403
                 111,            0.013673,           0.0033141,          0.00042169,             0.99964,                   1,               0.995,             0.89505,           0.0088136,           0.0021463,          0.00031024,             0.00637,             0.00637,             0.00637
                 112,            0.014474,           0.0033669,          0.00039744,              0.9996,                   1,               0.995,             0.89947,           0.0079735,            0.002117,          0.00030446,            0.006337,            0.006337,            0.006337
                 113,            0.013029,           0.0033929,          0.00040078,             0.99967,                   1,               0.995,             0.89685,           0.0078125,           0.0020689,            0.000294,            0.006304,            0.006304,            0.006304
                 114,            0.013482,            0.003242,          0.00038751,             0.99959,                   1,               0.995,              0.8985,           0.0078199,           0.0020658,          0.00029855,            0.006271,            0.006271,            0.006271
                 115,            0.013439,           0.0032324,          0.00040906,             0.99965,                   1,               0.995,              0.8792,           0.0083994,           0.0020874,          0.00029153,            0.006238,            0.006238,            0.006238
                 116,            0.013367,           0.0035395,          0.00042906,             0.99963,                   1,               0.995,              0.8993,           0.0080504,           0.0020326,          0.00026342,            0.006205,            0.006205,            0.006205
                 117,            0.013516,           0.0032666,          0.00041597,              0.9997,                   1,               0.995,             0.89269,           0.0083786,           0.0021083,          0.00028399,            0.006172,            0.006172,            0.006172
                 118,            0.014205,           0.0035204,          0.00043062,             0.99969,                   1,               0.995,             0.89202,           0.0081664,           0.0021337,          0.00032588,            0.006139,            0.006139,            0.006139
                 119,            0.013457,           0.0034394,           0.0004497,             0.99974,                   1,               0.995,             0.89269,           0.0079351,           0.0020684,          0.00029428,            0.006106,            0.006106,            0.006106
                 120,            0.012577,            0.003389,          0.00036117,             0.99971,                   1,               0.995,              0.8988,           0.0079248,           0.0020229,          0.00025218,            0.006073,            0.006073,            0.006073
                 121,            0.012532,           0.0032329,          0.00039997,             0.99968,                   1,               0.995,             0.89555,           0.0076681,           0.0020288,          0.00027372,             0.00604,             0.00604,             0.00604
                 122,            0.013769,           0.0035075,           0.0004002,             0.99971,                   1,               0.995,             0.88826,           0.0079881,           0.0020372,          0.00028782,            0.006007,            0.006007,            0.006007
                 123,            0.013193,           0.0033452,          0.00040535,             0.99963,                   1,               0.995,              0.8958,           0.0079647,           0.0020588,          0.00028687,            0.005974,            0.005974,            0.005974
                 124,            0.013705,           0.0035481,          0.00036932,             0.99955,                   1,               0.995,             0.89947,           0.0078886,           0.0020116,          0.00028853,            0.005941,            0.005941,            0.005941
                 125,            0.013502,           0.0034625,          0.00035757,             0.99972,                   1,               0.995,             0.90132,            0.007708,           0.0020173,          0.00028896,            0.005908,            0.005908,            0.005908
                 126,            0.012148,           0.0032913,          0.00041051,              0.9997,                   1,               0.995,             0.89078,           0.0079939,           0.0020331,          0.00028813,            0.005875,            0.005875,            0.005875
                 127,            0.012618,           0.0031199,          0.00038869,             0.99969,                   1,               0.995,             0.90177,           0.0076469,           0.0020116,          0.00027353,            0.005842,            0.005842,            0.005842
                 128,            0.013018,           0.0031748,           0.0003763,              0.9996,                   1,               0.995,             0.89607,           0.0075691,           0.0020281,          0.00027046,            0.005809,            0.005809,            0.005809
                 129,            0.012928,           0.0032861,          0.00033775,              0.9997,                   1,               0.995,             0.88979,           0.0079782,           0.0020075,          0.00026122,            0.005776,            0.005776,            0.005776
                 130,            0.012125,            0.003362,          0.00034549,             0.99954,                   1,               0.995,             0.89468,           0.0078458,           0.0020115,          0.00026611,            0.005743,            0.005743,            0.005743
                 131,            0.012329,           0.0032548,           0.0003483,             0.99965,                   1,               0.995,             0.89645,             0.00788,           0.0020319,          0.00025303,             0.00571,             0.00571,             0.00571
                 132,            0.011486,           0.0031771,          0.00031252,              0.9997,                   1,               0.995,             0.89591,           0.0076941,           0.0019795,          0.00022309,            0.005677,            0.005677,            0.005677
